filename,syllable,tone
jyutping-wong/aa1.wav,aa,1
jyutping-wong/aa2.wav,aa,2
jyutping-wong/aa3.wav,aa,3
jyutping-wong/aa4.wav,aa,4
jyutping-wong/aa5.wav,aa,5
jyutping-wong/aa6.wav,aa,6
jyutping-wong/aa7.wav,aa,7
jyutping-wong/aai1.wav,aai,1
jyutping-wong/aai2.wav,aai,2
jyutping-wong/aai3.wav,aai,3
jyutping-wong/aai4.wav,aai,4
jyutping-wong/aai5.wav,aai,5
jyutping-wong/aai6.wav,aai,6
jyutping-wong/aai7.wav,aai,7
jyutping-wong/aak1.wav,aak,1
jyutping-wong/aak2.wav,aak,2
jyutping-wong/aak3.wav,aak,3
jyutping-wong/aak4.wav,aak,4
jyutping-wong/aak5.wav,aak,5
jyutping-wong/aak6.wav,aak,6
jyutping-wong/aak7.wav,aak,7
jyutping-wong/aam1.wav,aam,1
jyutping-wong/aam2.wav,aam,2
jyutping-wong/aam3.wav,aam,3
jyutping-wong/aam4.wav,aam,4
jyutping-wong/aam5.wav,aam,5
jyutping-wong/aam6.wav,aam,6
jyutping-wong/aam7.wav,aam,7
jyutping-wong/aan1.wav,aan,1
jyutping-wong/aan2.wav,aan,2
jyutping-wong/aan3.wav,aan,3
jyutping-wong/aan4.wav,aan,4
jyutping-wong/aan5.wav,aan,5
jyutping-wong/aan6.wav,aan,6
jyutping-wong/aan7.wav,aan,7
jyutping-wong/aang1.wav,aang,1
jyutping-wong/aang2.wav,aang,2
jyutping-wong/aang3.wav,aang,3
jyutping-wong/aang4.wav,aang,4
jyutping-wong/aang5.wav,aang,5
jyutping-wong/aang6.wav,aang,6
jyutping-wong/aang7.wav,aang,7
jyutping-wong/aap1.wav,aap,1
jyutping-wong/aap2.wav,aap,2
jyutping-wong/aap3.wav,aap,3
jyutping-wong/aap4.wav,aap,4
jyutping-wong/aap5.wav,aap,5
jyutping-wong/aap6.wav,aap,6
jyutping-wong/aap7.wav,aap,7
jyutping-wong/aat1.wav,aat,1
jyutping-wong/aat2.wav,aat,2
jyutping-wong/aat3.wav,aat,3
jyutping-wong/aat4.wav,aat,4
jyutping-wong/aat5.wav,aat,5
jyutping-wong/aat6.wav,aat,6
jyutping-wong/aat7.wav,aat,7
jyutping-wong/aau1.wav,aau,1
jyutping-wong/aau2.wav,aau,2
jyutping-wong/aau3.wav,aau,3
jyutping-wong/aau4.wav,aau,4
jyutping-wong/aau5.wav,aau,5
jyutping-wong/aau6.wav,aau,6
jyutping-wong/aau7.wav,aau,7
jyutping-wong/ai1.wav,ai,1
jyutping-wong/ai2.wav,ai,2
jyutping-wong/ai3.wav,ai,3
jyutping-wong/ai4.wav,ai,4
jyutping-wong/ai5.wav,ai,5
jyutping-wong/ai6.wav,ai,6
jyutping-wong/ai7.wav,ai,7
jyutping-wong/ak1.wav,ak,1
jyutping-wong/ak2.wav,ak,2
jyutping-wong/ak3.wav,ak,3
jyutping-wong/ak4.wav,ak,4
